,name,time,Income per person,GDP total
46868,United States,1982,32384,7572101859634
46869,United States,1983,33378,7878263990613
46870,United States,1984,35441,8443942066294
46871,United States,1985,36425,8760097887464
46872,United States,1986,37273,9048484532324
46873,United States,1987,38176,9355227143402
46874,United States,1988,39354,9735129556653
46875,United States,1989,40265,10055153879511
46876,United States,1990,40443,10196401094154
46877,United States,1991,39863,10146594910748
46878,United States,1992,40698,10459091188316
46879,United States,1993,41271,10711116098291
46880,United States,1994,42410,11121734964869
46881,United States,1995,43033,11410855838525
46882,United States,1996,44140,11844345567585
46883,United States,1997,45551,12376940450481
46884,United States,1998,47041,12944572556948
46885,United States,1999,48715,13569342266535
46886,United States,2000,50164,14131715151893
46887,United States,2001,50166,14277564819541
46888,United States,2002,50568,14527169295841
46889,United States,2003,51570,14945735954030
46890,United States,2004,53036,15505258440430
46891,United States,2005,54395,16046277082435
46892,United States,2006,55411,16499252958404
46893,United States,2007,55917,16809035742324
46894,United States,2008,55315,16787226139909
46895,United States,2009,53441,16369355484486
46896,United States,2010,54359,16797595843025
46897,United States,2011,54806,17076711931846
46898,United States,2012,55633,17471181397118
46899,United States,2013,56270,17803844542955
46900,United States,2014,57273,18251424030546
46901,United States,2015,58510,18774456401841
46902,United States,2016,59043,19071901520384
46903,United States,2017,60062,19525313005636
46904,United States,2018,61498,20115886952059
46905,United States,2019,62530,20576557462044
46906,United States,2020,60042,19873956687607
46907,United States,2021,63517,21145722037487
46908,United States,2022,65372,21887001027544
46909,United States,2023,65913,22191694843000
46910,United States,2024,66506,22515028469377
46911,United States,2025,67187,22870305094897
