,Year and Month,Adj CPI
54,1917-07-01,0.05164059757854011
55,1917-08-01,0.052447481915704794
56,1917-09-01,0.05365780842145183
57,1917-10-01,0.05446469275861652
58,1917-11-01,0.05446469275861652
59,1917-12-01,0.055271577095781205
60,1918-01-01,0.056481903601528244
61,1918-02-01,0.05688534577011058
62,1918-03-01,0.056481903601528244
63,1918-04-01,0.05728878793869293
64,1918-05-01,0.05849911444443996
65,1918-06-01,0.05930599878160465
66,1918-07-01,0.06091976745593403
67,1918-08-01,0.062130093961681065
68,1918-09-01,0.06334042046742809
69,1918-10-01,0.06455074697317513
70,1918-11-01,0.06576107347892217
71,1918-12-01,0.06656795781608686
72,1919-01-01,0.06656795781608686
73,1919-02-01,0.06535763131033982
74,1919-03-01,0.0661645156475045
75,1919-04-01,0.06737484215325154
76,1919-05-01,0.06818172649041623
77,1919-06-01,0.06818172649041623
78,1919-07-01,0.07019893733332795
79,1919-08-01,0.07140926383907499
80,1919-09-01,0.07181270600765734
81,1919-10-01,0.07302303251340438
82,1919-11-01,0.07463680118773375
83,1919-12-01,0.07625056986206312
84,1920-01-01,0.0778643385363925
85,1920-02-01,0.0786712228735572
86,1920-03-01,0.07947810721072188
87,1920-04-01,0.08189876022221595
88,1920-05-01,0.083109086727963
89,1920-06-01,0.08431941323371
90,1920-07-01,0.08391597106512767
91,1920-08-01,0.08189876022221595
92,1920-09-01,0.08068843371646892
93,1920-10-01,0.08028499154788657
94,1920-11-01,0.07988154937930422
95,1920-12-01,0.07826778070497484
96,1921-01-01,0.07665401203064547
97,1921-02-01,0.0742333590191514
98,1921-03-01,0.07382991685056906
99,1921-04-01,0.07302303251340438
100,1921-05-01,0.07140926383907499
101,1921-06-01,0.07100582167049266
102,1921-07-01,0.07140926383907499
103,1921-08-01,0.07140926383907499
104,1921-09-01,0.0706023795019103
105,1921-10-01,0.0706023795019103
106,1921-11-01,0.07019893733332795
107,1921-12-01,0.06979549516474562
108,1922-01-01,0.06818172649041623
109,1922-02-01,0.06818172649041623
110,1922-03-01,0.06737484215325154
111,1922-04-01,0.06737484215325154
112,1922-05-01,0.06737484215325154
113,1922-06-01,0.06737484215325154
114,1922-07-01,0.06777828432183389
115,1922-08-01,0.06697139998466921
116,1922-09-01,0.06697139998466921
117,1922-10-01,0.06737484215325154
118,1922-11-01,0.06777828432183389
119,1922-12-01,0.06818172649041623
120,1923-01-01,0.06777828432183389
121,1923-02-01,0.06777828432183389
122,1923-03-01,0.06777828432183389
123,1923-04-01,0.06818172649041623
124,1923-05-01,0.06818172649041623
125,1923-06-01,0.06858516865899858
126,1923-07-01,0.06939205299616326
127,1923-08-01,0.06898861082758093
128,1923-09-01,0.06939205299616326
129,1923-10-01,0.06979549516474562
130,1923-11-01,0.06979549516474562
131,1923-12-01,0.06979549516474562
132,1924-01-01,0.06979549516474562
133,1924-02-01,0.06939205299616326
134,1924-03-01,0.06898861082758093
135,1924-04-01,0.06858516865899858
136,1924-05-01,0.06858516865899858
137,1924-06-01,0.06858516865899858
138,1924-07-01,0.06898861082758093
139,1924-08-01,0.06858516865899858
140,1924-09-01,0.06898861082758093
141,1924-10-01,0.06939205299616326
142,1924-11-01,0.06939205299616326
143,1924-12-01,0.06979549516474562
144,1925-01-01,0.06979549516474562
145,1925-02-01,0.06939205299616326
146,1925-03-01,0.06979549516474562
147,1925-04-01,0.06939205299616326
148,1925-05-01,0.06979549516474562
149,1925-06-01,0.0706023795019103
150,1925-07-01,0.07140926383907499
151,1925-08-01,0.07140926383907499
152,1925-09-01,0.07140926383907499
153,1925-10-01,0.07140926383907499
154,1925-11-01,0.07261959034482203
155,1925-12-01,0.07221614817623967
156,1926-01-01,0.07221614817623967
157,1926-02-01,0.07221614817623967
158,1926-03-01,0.07181270600765734
159,1926-04-01,0.07221614817623967
160,1926-05-01,0.07181270600765734
161,1926-06-01,0.07140926383907499
162,1926-07-01,0.0706023795019103
163,1926-08-01,0.07019893733332795
164,1926-09-01,0.0706023795019103
165,1926-10-01,0.07100582167049266
166,1926-11-01,0.07140926383907499
167,1926-12-01,0.07140926383907499
168,1927-01-01,0.0706023795019103
169,1927-02-01,0.07019893733332795
170,1927-03-01,0.06979549516474562
171,1927-04-01,0.06979549516474562
172,1927-05-01,0.07019893733332795
173,1927-06-01,0.07100582167049266
174,1927-07-01,0.06979549516474562
175,1927-08-01,0.06939205299616326
176,1927-09-01,0.06979549516474562
177,1927-10-01,0.07019893733332795
178,1927-11-01,0.06979549516474562
179,1927-12-01,0.06979549516474562
180,1928-01-01,0.06979549516474562
181,1928-02-01,0.06898861082758093
182,1928-03-01,0.06898861082758093
183,1928-04-01,0.06898861082758093
184,1928-05-01,0.06939205299616326
185,1928-06-01,0.06898861082758093
186,1928-07-01,0.06898861082758093
187,1928-08-01,0.06898861082758093
188,1928-09-01,0.06979549516474562
189,1928-10-01,0.06939205299616326
190,1928-11-01,0.06939205299616326
191,1928-12-01,0.06898861082758093
192,1929-01-01,0.06898861082758093
193,1929-02-01,0.06898861082758093
194,1929-03-01,0.06858516865899858
195,1929-04-01,0.06818172649041623
196,1929-05-01,0.06858516865899858
197,1929-06-01,0.06898861082758093
198,1929-07-01,0.06979549516474562
199,1929-08-01,0.06979549516474562
200,1929-09-01,0.06979549516474562
201,1929-10-01,0.06979549516474562
202,1929-11-01,0.06979549516474562
203,1929-12-01,0.06939205299616326
204,1930-01-01,0.06898861082758093
205,1930-02-01,0.06858516865899858
206,1930-03-01,0.06818172649041623
207,1930-04-01,0.06858516865899858
208,1930-05-01,0.06818172649041623
209,1930-06-01,0.06777828432183389
210,1930-07-01,0.06697139998466921
211,1930-08-01,0.06656795781608686
212,1930-09-01,0.06697139998466921
213,1930-10-01,0.06656795781608686
214,1930-11-01,0.0661645156475045
215,1930-12-01,0.06495418914175748
216,1931-01-01,0.06414730480459278
217,1931-02-01,0.06334042046742809
218,1931-03-01,0.06293697829884576
219,1931-04-01,0.06253353613026341
220,1931-05-01,0.061726651793098726
221,1931-06-01,0.06091976745593403
222,1931-07-01,0.06091976745593403
223,1931-08-01,0.06091976745593403
224,1931-09-01,0.06051632528735169
225,1931-10-01,0.06011288311876934
226,1931-11-01,0.05930599878160465
227,1931-12-01,0.05890255661302231
228,1932-01-01,0.057692230107275276
229,1932-02-01,0.05688534577011058
230,1932-03-01,0.056481903601528244
231,1932-04-01,0.0560784614329459
232,1932-05-01,0.055271577095781205
233,1932-06-01,0.05486813492719886
234,1932-07-01,0.05486813492719886
235,1932-08-01,0.05446469275861652
236,1932-09-01,0.05406125059003417
237,1932-10-01,0.05365780842145183
238,1932-11-01,0.05325436625286948
239,1932-12-01,0.05285092408428714
240,1933-01-01,0.052044039747122454
241,1933-02-01,0.05123715540995776
242,1933-03-01,0.050833713241375415
243,1933-04-01,0.050833713241375415
244,1933-05-01,0.050833713241375415
245,1933-06-01,0.05123715540995776
246,1933-07-01,0.05285092408428714
247,1933-08-01,0.05325436625286948
248,1933-09-01,0.05325436625286948
249,1933-10-01,0.05325436625286948
250,1933-11-01,0.05325436625286948
251,1933-12-01,0.05325436625286948
252,1934-01-01,0.05325436625286948
253,1934-02-01,0.05365780842145183
254,1934-03-01,0.05365780842145183
255,1934-04-01,0.05365780842145183
256,1934-05-01,0.05365780842145183
257,1934-06-01,0.05406125059003417
258,1934-07-01,0.05406125059003417
259,1934-08-01,0.05406125059003417
260,1934-09-01,0.05486813492719886
261,1934-10-01,0.05446469275861652
262,1934-11-01,0.05446469275861652
263,1934-12-01,0.05406125059003417
264,1935-01-01,0.05486813492719886
265,1935-02-01,0.055271577095781205
266,1935-03-01,0.055271577095781205
267,1935-04-01,0.05567501926436356
268,1935-05-01,0.05567501926436356
269,1935-06-01,0.055271577095781205
270,1935-07-01,0.055271577095781205
271,1935-08-01,0.055271577095781205
272,1935-09-01,0.055271577095781205
273,1935-10-01,0.055271577095781205
274,1935-11-01,0.05567501926436356
275,1935-12-01,0.05567501926436356
276,1936-01-01,0.05567501926436356
277,1936-02-01,0.05567501926436356
278,1936-03-01,0.055271577095781205
279,1936-04-01,0.055271577095781205
280,1936-05-01,0.055271577095781205
281,1936-06-01,0.05567501926436356
282,1936-07-01,0.0560784614329459
283,1936-08-01,0.056481903601528244
284,1936-09-01,0.056481903601528244
285,1936-10-01,0.056481903601528244
286,1936-11-01,0.056481903601528244
287,1936-12-01,0.056481903601528244
288,1937-01-01,0.05688534577011058
289,1937-02-01,0.05688534577011058
290,1937-03-01,0.05728878793869293
291,1937-04-01,0.057692230107275276
292,1937-05-01,0.05809567227585762
293,1937-06-01,0.05809567227585762
294,1937-07-01,0.05849911444443996
295,1937-08-01,0.05849911444443996
296,1937-09-01,0.05890255661302231
297,1937-10-01,0.05890255661302231
298,1937-11-01,0.05849911444443996
299,1937-12-01,0.05809567227585762
300,1938-01-01,0.05728878793869293
301,1938-02-01,0.05688534577011058
302,1938-03-01,0.05688534577011058
303,1938-04-01,0.05728878793869293
304,1938-05-01,0.05688534577011058
305,1938-06-01,0.05688534577011058
306,1938-07-01,0.05688534577011058
307,1938-08-01,0.05688534577011058
308,1938-09-01,0.05688534577011058
309,1938-10-01,0.056481903601528244
310,1938-11-01,0.056481903601528244
311,1938-12-01,0.056481903601528244
312,1939-01-01,0.056481903601528244
313,1939-02-01,0.0560784614329459
314,1939-03-01,0.0560784614329459
315,1939-04-01,0.05567501926436356
316,1939-05-01,0.05567501926436356
317,1939-06-01,0.05567501926436356
318,1939-07-01,0.05567501926436356
319,1939-08-01,0.05567501926436356
320,1939-09-01,0.05688534577011058
321,1939-10-01,0.056481903601528244
322,1939-11-01,0.056481903601528244
323,1939-12-01,0.056481903601528244
324,1940-01-01,0.0560784614329459
325,1940-02-01,0.056481903601528244
326,1940-03-01,0.056481903601528244
327,1940-04-01,0.056481903601528244
328,1940-05-01,0.056481903601528244
329,1940-06-01,0.05688534577011058
330,1940-07-01,0.056481903601528244
331,1940-08-01,0.056481903601528244
332,1940-09-01,0.056481903601528244
