pop_date,country,population
1819-01-01,usa,9366551
1820-01-01,usa,9638453
1821-01-01,usa,9920898
1822-01-01,usa,10211621
1823-01-01,usa,10510863
1824-01-01,usa,10818874
1825-01-01,usa,11135911
1826-01-01,usa,11462239
1827-01-01,usa,11798129
1828-01-01,usa,12143862
1829-01-01,usa,12499727
1830-01-01,usa,12866020
1831-01-01,usa,13234933
1832-01-01,usa,13614424
1833-01-01,usa,14004797
1834-01-01,usa,14406363
1835-01-01,usa,14819444
1836-01-01,usa,15244368
1837-01-01,usa,15681477
1838-01-01,usa,16131120
1839-01-01,usa,16593655
1840-01-01,usa,17069453
1841-01-01,usa,17600752
1842-01-01,usa,18148588
1843-01-01,usa,18713476
1844-01-01,usa,19295947
1845-01-01,usa,19896548
1846-01-01,usa,20515843
1847-01-01,usa,21154413
1848-01-01,usa,21812860
1849-01-01,usa,22491802
1850-01-01,usa,23191876
1851-01-01,usa,23908654
1852-01-01,usa,24647585
1853-01-01,usa,25409354
1854-01-01,usa,26194667
1855-01-01,usa,27004251
1856-01-01,usa,27838856
1857-01-01,usa,28699256
1858-01-01,usa,29586248
1859-01-01,usa,30500654
1860-01-01,usa,31443321
1861-01-01,usa,32091309
1862-01-01,usa,32752651
1863-01-01,usa,33427622
1864-01-01,usa,34116503
1865-01-01,usa,34819581
1866-01-01,usa,35537147
1867-01-01,usa,36269502
1868-01-01,usa,37016949
1869-01-01,usa,37779799
1870-01-01,usa,38558371
1871-01-01,usa,39588390
1872-01-01,usa,40645925
1873-01-01,usa,41731709
1874-01-01,usa,42846499
1875-01-01,usa,43991068
1876-01-01,usa,45166213
1877-01-01,usa,46372749
1878-01-01,usa,47611516
1879-01-01,usa,48883375
1880-01-01,usa,50189209
1881-01-01,usa,51341602
1882-01-01,usa,52520456
1883-01-01,usa,53726377
1884-01-01,usa,54959987
1885-01-01,usa,56221923
1886-01-01,usa,57512833
1887-01-01,usa,58833384
1888-01-01,usa,60184257
